"StationId","ChannelNo","ChannelName","FeaSavePath","MediaType","AutoRec","ADMinTime","ADMaxTime","ThickEnergeCore","ThickFrequencyCore","MinEnergeDegree","MinFrequencyDegree","inserttime","Channellv","ChannelProperty","ChannelUserDefined"
"2304","210300102","鞍山公共频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2305","210300105","鞍山时尚频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2306","210300108","鞍山图文互动信息频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2307","210300101","鞍山新闻综合频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2308","210300103","鞍山娱乐频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2309","150200102","包头都市影视频道(4)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2310","150200103","包头经济频道(3)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2311","150200111","包头生活服务频道(2)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2312","150200101","包头新闻综合频道(1)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2313","210500102","本溪文体频道(2)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2314","210500103","本溪生活频道(3)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2315","210500104","本溪图文信息频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2316","210500101","本溪新闻频道(1)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2317","320400102","常州都市频道(2)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2318","320400113","常州生活频道(3)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2319","320400101","常州新闻频道(1)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2320","211300102","朝阳公共频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2321","211300101","朝阳新闻综合频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2322","211300103","朝阳影视文化频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2323","150400102","赤峰经济服务频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2324","150400101","赤峰新闻综合频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2325","532900101","大理新闻综合频道(1)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2326","210200103","大连公共频道(3)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2327","210200102","大连生活频道(2)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2328","210200106","大连少儿频道(6)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2329","210200104","大连文体频道(4)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2330","210200101","大连新闻综合频道(1)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2331","210200105","大连综合影视频道(5)","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2332","210600102","丹东公共频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2333","210600101","丹东新闻综合频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
"2334","210600104","丹东信息频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.79713:4","市级","",""
"2335","210600103","丹东影视剧频道","\\192.168.1.35\新加卷 (g)\样本特征上传文件","1","0","3","60","0.4","0.2","70","70","2013/1/2 13:41:27.797","市级","",""
